user_id,experiment_group,device,traffic_source,age_group,view,click,add_to_cart,checkout,purchase,order_value,revenue
1,Variant,Tablet,Paid Search,25-34,True,True,False,False,False,0.0,0.0
2,Control,Tablet,Paid Search,25-34,False,False,False,False,False,0.0,0.0
3,Variant,Mobile,Direct,45-54,True,False,False,False,False,0.0,0.0
4,Variant,Desktop,Social,45-54,True,False,False,False,False,0.0,0.0
5,Control,Mobile,Email,45-54,True,False,False,False,False,0.0,0.0
6,Variant,Mobile,Paid Search,45-54,True,True,True,False,False,0.0,0.0
7,Variant,Mobile,Organic,35-44,True,True,False,False,False,0.0,0.0
8,Variant,Mobile,Social,35-44,True,True,False,False,False,0.0,0.0
9,Control,Desktop,Paid Search,35-44,True,False,False,False,False,0.0,0.0
10,Control,Mobile,Social,55+,True,True,False,False,False,0.0,0.0
11,Control,Mobile,Social,35-44,True,True,True,True,False,0.0,0.0
12,Variant,Tablet,Organic,25-34,True,False,False,False,False,0.0,0.0
13,Variant,Desktop,Social,25-34,True,True,True,False,False,0.0,0.0
14,Variant,Desktop,Email,35-44,True,True,False,False,False,0.0,0.0
15,Control,Mobile,Social,45-54,True,True,False,False,False,0.0,0.0
16,Control,Desktop,Paid Search,35-44,True,True,False,False,False,0.0,0.0
17,Variant,Desktop,Email,25-34,True,False,False,False,False,0.0,0.0
18,Control,Tablet,Paid Search,35-44,True,False,False,False,False,0.0,0.0
19,Variant,Mobile,Paid Search,55+,False,False,False,False,False,0.0,0.0
20,Variant,Desktop,Organic,18-24,False,False,False,False,False,0.0,0.0
21,Variant,Desktop,Paid Search,35-44,True,False,False,False,False,0.0,0.0
22,Control,Desktop,Paid Search,45-54,False,False,False,False,False,0.0,0.0
23,Variant,Mobile,Paid Search,18-24,False,False,False,False,False,0.0,0.0
24,Variant,Mobile,Organic,35-44,True,True,False,False,False,0.0,0.0
25,Variant,Desktop,Email,45-54,True,True,True,True,True,55.59,55.59
26,Control,Desktop,Organic,35-44,True,False,False,False,False,0.0,0.0
27,Control,Mobile,Social,25-34,True,True,False,False,False,0.0,0.0
28,Control,Tablet,Organic,35-44,True,False,False,False,False,0.0,0.0
29,Control,Tablet,Direct,25-34,False,False,False,False,False,0.0,0.0
30,Variant,Desktop,Paid Search,25-34,True,True,True,True,False,0.0,0.0
31,Variant,Desktop,Paid Search,18-24,True,True,False,False,False,0.0,0.0
32,Variant,Desktop,Paid Search,25-34,False,False,False,False,False,0.0,0.0
33,Control,Tablet,Paid Search,25-34,True,False,False,False,False,0.0,0.0
34,Control,Mobile,Social,25-34,False,False,False,False,False,0.0,0.0
35,Control,Tablet,Organic,18-24,True,False,False,False,False,0.0,0.0
36,Control,Mobile,Email,18-24,True,True,False,False,False,0.0,0.0
37,Control,Desktop,Organic,35-44,True,False,False,False,False,0.0,0.0
38,Control,Desktop,Social,35-44,True,False,False,False,False,0.0,0.0
39,Control,Tablet,Organic,25-34,True,True,False,False,False,0.0,0.0
40,Variant,Mobile,Paid Search,45-54,False,False,False,False,False,0.0,0.0
41,Control,Mobile,Organic,25-34,True,False,False,False,False,0.0,0.0
42,Variant,Desktop,Email,18-24,True,True,False,False,False,0.0,0.0
43,Variant,Desktop,Organic,45-54,True,True,False,False,False,0.0,0.0
44,Control,Desktop,Paid Search,35-44,True,True,False,False,False,0.0,0.0
45,Variant,Desktop,Direct,25-34,True,True,False,False,False,0.0,0.0
46,Variant,Mobile,Paid Search,55+,False,False,False,False,False,0.0,0.0
47,Control,Mobile,Paid Search,45-54,True,False,False,False,False,0.0,0.0
48,Control,Desktop,Email,25-34,False,False,False,False,False,0.0,0.0
49,Variant,Tablet,Social,18-24,True,False,False,False,False,0.0,0.0
50,Control,Mobile,Organic,25-34,True,True,False,False,False,0.0,0.0
51,Control,Mobile,Organic,55+,True,True,False,False,False,0.0,0.0
52,Control,Mobile,Organic,18-24,True,True,False,False,False,0.0,0.0
53,Variant,Mobile,Paid Search,35-44,False,False,False,False,False,0.0,0.0
54,Variant,Tablet,Organic,18-24,False,False,False,False,False,0.0,0.0
55,Variant,Mobile,Organic,55+,True,True,True,True,True,82.07,82.07
56,Variant,Mobile,Paid Search,25-34,True,False,False,False,False,0.0,0.0
57,Control,Tablet,Organic,25-34,True,False,False,False,False,0.0,0.0
58,Variant,Desktop,Social,45-54,False,False,False,False,False,0.0,0.0
59,Control,Desktop,Social,25-34,False,False,False,False,False,0.0,0.0
60,Control,Desktop,Paid Search,18-24,True,False,False,False,False,0.0,0.0
61,Variant,Tablet,Paid Search,35-44,False,False,False,False,False,0.0,0.0
62,Control,Tablet,Organic,45-54,True,True,False,False,False,0.0,0.0
63,Variant,Tablet,Organic,25-34,True,False,False,False,False,0.0,0.0
64,Variant,Mobile,Paid Search,25-34,False,False,False,False,False,0.0,0.0
65,Variant,Mobile,Organic,25-34,True,True,False,False,False,0.0,0.0
66,Variant,Mobile,Paid Search,45-54,True,False,False,False,False,0.0,0.0
67,Variant,Mobile,Direct,25-34,True,True,False,False,False,0.0,0.0
68,Control,Mobile,Email,35-44,True,False,False,False,False,0.0,0.0
69,Control,Mobile,Direct,45-54,True,True,False,False,False,0.0,0.0
70,Control,Desktop,Organic,25-34,True,True,False,False,False,0.0,0.0
71,Control,Mobile,Paid Search,25-34,True,True,True,True,True,55.26,55.26
72,Control,Desktop,Email,25-34,True,True,False,False,False,0.0,0.0
73,Variant,Mobile,Paid Search,35-44,True,True,False,False,False,0.0,0.0
74,Control,Tablet,Organic,45-54,True,False,False,False,False,0.0,0.0
75,Control,Mobile,Paid Search,18-24,True,False,False,False,False,0.0,0.0
76,Control,Mobile,Direct,25-34,True,True,False,False,False,0.0,0.0
77,Control,Mobile,Email,35-44,True,True,True,True,True,60.62,60.62
78,Variant,Mobile,Organic,18-24,True,True,False,False,False,0.0,0.0
79,Variant,Desktop,Organic,45-54,True,True,True,False,False,0.0,0.0
80,Variant,Mobile,Organic,25-34,True,True,True,True,True,100.77,100.77
81,Variant,Desktop,Social,18-24,False,False,False,False,False,0.0,0.0
82,Control,Mobile,Organic,25-34,True,False,False,False,False,0.0,0.0
83,Variant,Mobile,Paid Search,45-54,True,False,False,False,False,0.0,0.0
84,Control,Mobile,Direct,45-54,True,True,False,False,False,0.0,0.0
85,Control,Desktop,Social,35-44,True,True,False,False,False,0.0,0.0
86,Control,Desktop,Social,55+,True,True,False,False,False,0.0,0.0
87,Variant,Desktop,Organic,18-24,True,True,False,False,False,0.0,0.0
88,Control,Desktop,Organic,25-34,True,True,True,True,True,53.61,53.61
89,Control,Mobile,Paid Search,25-34,True,True,True,False,False,0.0,0.0
90,Variant,Mobile,Direct,55+,True,False,False,False,False,0.0,0.0
91,Control,Desktop,Paid Search,35-44,True,True,False,False,False,0.0,0.0
92,Variant,Desktop,Paid Search,25-34,True,True,False,False,False,0.0,0.0
93,Control,Mobile,Paid Search,18-24,True,False,False,False,False,0.0,0.0
94,Control,Mobile,Organic,35-44,False,False,False,False,False,0.0,0.0
95,Control,Mobile,Organic,35-44,True,False,False,False,False,0.0,0.0
96,Variant,Tablet,Social,35-44,True,True,True,False,False,0.0,0.0
97,Control,Mobile,Organic,45-54,True,False,False,False,False,0.0,0.0
98,Control,Mobile,Paid Search,25-34,True,False,False,False,False,0.0,0.0
99,Control,Mobile,Paid Search,18-24,False,False,False,False,False,0.0,0.0
100,Variant,Mobile,Organic,35-44,True,True,False,False,False,0.0,0.0
101,Variant,Mobile,Social,55+,True,False,False,False,False,0.0,0.0
102,Variant,Tablet,Paid Search,45-54,True,True,False,False,False,0.0,0.0
103,Control,Mobile,Organic,25-34,True,True,True,True,False,0.0,0.0
104,Variant,Desktop,Social,45-54,True,False,False,False,False,0.0,0.0
105,Variant,Tablet,Organic,25-34,True,True,False,False,False,0.0,0.0
106,Variant,Tablet,Social,18-24,True,False,False,False,False,0.0,0.0
107,Control,Mobile,Email,35-44,True,True,True,True,True,140.98,140.98
108,Control,Mobile,Organic,45-54,True,True,False,False,False,0.0,0.0
109,Control,Mobile,Social,55+,True,True,False,False,False,0.0,0.0
110,Variant,Mobile,Organic,25-34,True,True,False,False,False,0.0,0.0
111,Control,Desktop,Paid Search,35-44,False,False,False,False,False,0.0,0.0
112,Control,Desktop,Organic,18-24,True,False,False,False,False,0.0,0.0
113,Control,Desktop,Email,18-24,False,False,False,False,False,0.0,0.0
114,Variant,Desktop,Organic,25-34,True,True,False,False,False,0.0,0.0
115,Control,Mobile,Organic,55+,True,False,False,False,False,0.0,0.0
116,Variant,Tablet,Social,18-24,True,False,False,False,False,0.0,0.0
117,Variant,Desktop,Social,25-34,True,True,False,False,False,0.0,0.0
118,Variant,Mobile,Email,25-34,True,False,False,False,False,0.0,0.0
119,Control,Mobile,Direct,25-34,True,True,True,False,False,0.0,0.0
120,Variant,Desktop,Organic,55+,True,False,False,False,False,0.0,0.0
121,Variant,Mobile,Direct,45-54,True,True,True,False,False,0.0,0.0
122,Variant,Desktop,Email,25-34,True,False,False,False,False,0.0,0.0
123,Control,Desktop,Social,18-24,True,True,True,True,False,0.0,0.0
124,Control,Desktop,Organic,35-44,True,True,True,False,False,0.0,0.0
125,Control,Desktop,Social,18-24,True,True,True,False,False,0.0,0.0
126,Control,Mobile,Email,25-34,True,True,False,False,False,0.0,0.0
127,Control,Mobile,Social,25-34,True,True,False,False,False,0.0,0.0
128,Control,Mobile,Organic,35-44,True,False,False,False,False,0.0,0.0
129,Control,Desktop,Paid Search,18-24,True,False,False,False,False,0.0,0.0
130,Variant,Desktop,Social,55+,True,True,True,True,True,60.69,60.69
131,Control,Desktop,Organic,25-34,True,True,True,True,True,76.66,76.66
132,Variant,Desktop,Social,25-34,True,False,False,False,False,0.0,0.0
133,Variant,Mobile,Organic,18-24,True,False,False,False,False,0.0,0.0
134,Control,Desktop,Paid Search,45-54,False,False,False,False,False,0.0,0.0
135,Variant,Desktop,Social,35-44,True,True,True,False,False,0.0,0.0
136,Control,Mobile,Social,25-34,True,True,False,False,False,0.0,0.0
137,Variant,Mobile,Direct,25-34,True,False,False,False,False,0.0,0.0
138,Control,Tablet,Paid Search,35-44,False,False,False,False,False,0.0,0.0
139,Variant,Mobile,Paid Search,35-44,True,True,True,False,False,0.0,0.0
140,Control,Desktop,Paid Search,45-54,True,False,False,False,False,0.0,0.0
141,Control,Mobile,Social,35-44,True,True,False,False,False,0.0,0.0
142,Control,Desktop,Email,55+,True,False,False,False,False,0.0,0.0
143,Variant,Mobile,Email,25-34,False,False,False,False,False,0.0,0.0
144,Variant,Desktop,Organic,18-24,True,False,False,False,False,0.0,0.0
145,Control,Mobile,Organic,18-24,False,False,False,False,False,0.0,0.0
146,Control,Mobile,Social,45-54,True,True,True,True,True,86.03,86.03
147,Control,Mobile,Paid Search,25-34,True,False,False,False,False,0.0,0.0
148,Variant,Tablet,Social,25-34,True,True,True,False,False,0.0,0.0
149,Control,Tablet,Social,45-54,True,True,False,False,False,0.0,0.0
150,Control,Mobile,Social,45-54,True,True,False,False,False,0.0,0.0
151,Variant,Desktop,Organic,45-54,True,True,True,True,True,46.65,46.65
152,Variant,Mobile,Social,25-34,True,True,False,False,False,0.0,0.0
153,Control,Mobile,Social,35-44,False,False,False,False,False,0.0,0.0
154,Variant,Desktop,Organic,45-54,True,True,False,False,False,0.0,0.0
155,Control,Desktop,Paid Search,35-44,True,True,False,False,False,0.0,0.0
156,Variant,Mobile,Direct,25-34,True,False,False,False,False,0.0,0.0
157,Control,Mobile,Organic,45-54,True,True,False,False,False,0.0,0.0
158,Variant,Mobile,Email,18-24,True,False,False,False,False,0.0,0.0
159,Variant,Tablet,Organic,35-44,True,False,False,False,False,0.0,0.0
160,Variant,Mobile,Direct,18-24,False,False,False,False,False,0.0,0.0
161,Control,Mobile,Direct,18-24,True,False,False,False,False,0.0,0.0
162,Variant,Mobile,Paid Search,25-34,False,False,False,False,False,0.0,0.0
163,Control,Mobile,Organic,35-44,False,False,False,False,False,0.0,0.0
164,Control,Desktop,Paid Search,25-34,True,True,False,False,False,0.0,0.0
165,Variant,Desktop,Social,18-24,True,False,False,False,False,0.0,0.0
166,Control,Desktop,Paid Search,35-44,True,True,False,False,False,0.0,0.0
167,Variant,Desktop,Organic,35-44,True,True,False,False,False,0.0,0.0
168,Variant,Mobile,Email,35-44,True,False,False,False,False,0.0,0.0
169,Control,Desktop,Organic,25-34,False,False,False,False,False,0.0,0.0
170,Variant,Mobile,Organic,18-24,True,True,False,False,False,0.0,0.0
171,Control,Desktop,Organic,18-24,True,True,True,False,False,0.0,0.0
172,Variant,Tablet,Social,35-44,True,False,False,False,False,0.0,0.0
173,Control,Mobile,Paid Search,25-34,True,True,True,True,False,0.0,0.0
174,Variant,Desktop,Email,35-44,True,False,False,False,False,0.0,0.0
175,Control,Desktop,Paid Search,25-34,True,True,False,False,False,0.0,0.0
176,Control,Desktop,Organic,55+,True,True,False,False,False,0.0,0.0
177,Control,Desktop,Social,45-54,True,True,False,False,False,0.0,0.0
178,Variant,Mobile,Social,25-34,True,False,False,False,False,0.0,0.0
179,Variant,Desktop,Direct,45-54,True,True,True,True,True,56.63,56.63
180,Variant,Mobile,Social,25-34,False,False,False,False,False,0.0,0.0
181,Variant,Mobile,Direct,45-54,True,True,False,False,False,0.0,0.0
182,Variant,Mobile,Organic,25-34,True,False,False,False,False,0.0,0.0
183,Variant,Mobile,Paid Search,35-44,True,False,False,False,False,0.0,0.0
184,Control,Desktop,Social,45-54,True,True,True,True,False,0.0,0.0
185,Variant,Mobile,Organic,25-34,True,True,False,False,False,0.0,0.0
186,Variant,Mobile,Organic,25-34,False,False,False,False,False,0.0,0.0
187,Control,Desktop,Paid Search,25-34,True,True,True,True,False,0.0,0.0
188,Control,Mobile,Direct,18-24,True,True,False,False,False,0.0,0.0
189,Variant,Mobile,Direct,25-34,True,True,False,False,False,0.0,0.0
190,Control,Desktop,Paid Search,25-34,True,True,False,False,False,0.0,0.0
191,Variant,Mobile,Organic,25-34,True,False,False,False,False,0.0,0.0
192,Control,Tablet,Social,35-44,False,False,False,False,False,0.0,0.0
193,Control,Mobile,Direct,25-34,False,False,False,False,False,0.0,0.0
194,Variant,Mobile,Paid Search,35-44,False,False,False,False,False,0.0,0.0
195,Control,Mobile,Social,45-54,True,True,False,False,False,0.0,0.0
196,Control,Tablet,Organic,45-54,True,True,False,False,False,0.0,0.0
197,Variant,Desktop,Organic,35-44,True,True,True,False,False,0.0,0.0
198,Variant,Mobile,Organic,25-34,True,True,True,True,False,0.0,0.0
199,Control,Desktop,Paid Search,45-54,True,True,True,True,True,78.97,78.97
200,Control,Mobile,Organic,35-44,False,False,False,False,False,0.0,0.0
201,Variant,Mobile,Social,18-24,True,False,False,False,False,0.0,0.0
202,Variant,Mobile,Paid Search,25-34,False,False,False,False,False,0.0,0.0
203,Variant,Tablet,Direct,25-34,False,False,False,False,False,0.0,0.0
204,Control,Tablet,Social,35-44,True,True,True,False,False,0.0,0.0
205,Control,Desktop,Social,55+,True,True,True,True,False,0.0,0.0
206,Control,Mobile,Paid Search,45-54,False,False,False,False,False,0.0,0.0
207,Control,Desktop,Paid Search,25-34,True,True,False,False,False,0.0,0.0
208,Variant,Mobile,Organic,18-24,True,False,False,False,False,0.0,0.0
209,Control,Mobile,Paid Search,35-44,True,True,True,False,False,0.0,0.0
210,Variant,Mobile,Email,35-44,True,False,False,False,False,0.0,0.0
211,Variant,Desktop,Paid Search,35-44,True,True,True,True,False,0.0,0.0
212,Variant,Tablet,Organic,35-44,True,True,True,False,False,0.0,0.0
213,Control,Mobile,Organic,35-44,True,False,False,False,False,0.0,0.0
214,Variant,Mobile,Organic,25-34,True,True,False,False,False,0.0,0.0
215,Variant,Mobile,Social,35-44,True,False,False,False,False,0.0,0.0
216,Variant,Desktop,Organic,35-44,True,True,True,False,False,0.0,0.0
217,Control,Mobile,Email,25-34,True,True,False,False,False,0.0,0.0
218,Control,Mobile,Paid Search,45-54,True,True,False,False,False,0.0,0.0
219,Variant,Tablet,Organic,18-24,True,False,False,False,False,0.0,0.0
220,Control,Mobile,Paid Search,25-34,True,True,True,False,False,0.0,0.0
221,Control,Desktop,Organic,25-34,True,True,True,True,False,0.0,0.0
222,Control,Mobile,Email,25-34,True,False,False,False,False,0.0,0.0
223,Variant,Desktop,Direct,18-24,True,True,False,False,False,0.0,0.0
224,Variant,Desktop,Organic,25-34,True,False,False,False,False,0.0,0.0
225,Control,Tablet,Direct,45-54,True,True,True,True,False,0.0,0.0
226,Variant,Desktop,Email,25-34,False,False,False,False,False,0.0,0.0
227,Control,Desktop,Organic,25-34,True,False,False,False,False,0.0,0.0
228,Variant,Desktop,Organic,35-44,True,True,False,False,False,0.0,0.0
229,Variant,Mobile,Organic,35-44,True,False,False,False,False,0.0,0.0
230,Control,Tablet,Email,55+,True,True,False,False,False,0.0,0.0
231,Control,Mobile,Direct,35-44,True,True,False,False,False,0.0,0.0
232,Control,Mobile,Paid Search,18-24,True,False,False,False,False,0.0,0.0
233,Variant,Mobile,Paid Search,18-24,True,True,True,True,False,0.0,0.0
234,Variant,Desktop,Paid Search,25-34,False,False,False,False,False,0.0,0.0
235,Variant,Mobile,Email,18-24,True,True,False,False,False,0.0,0.0
236,Variant,Mobile,Direct,25-34,True,True,True,True,True,44.9,44.9
237,Control,Mobile,Organic,35-44,True,True,False,False,False,0.0,0.0
238,Variant,Desktop,Direct,45-54,True,False,False,False,False,0.0,0.0
239,Control,Desktop,Paid Search,18-24,True,True,False,False,False,0.0,0.0
240,Control,Desktop,Email,35-44,True,True,True,True,True,77.08,77.08
241,Variant,Mobile,Direct,25-34,True,False,False,False,False,0.0,0.0
242,Variant,Desktop,Paid Search,25-34,True,False,False,False,False,0.0,0.0
